enzyme	compartment	complexes	complex_keff	reactions	direction	enzyme_keff	unit	references	notes
enzyme_ANGIO3ARGH	pc	cplx_COMPLEX_AGT_ANPEP_pc;cplx_COMPLEX_AGT_DPP3_pc	234000;234000	ANGIO3ARGH	forward	234000	1 / hr
enzyme_ANGIO3ARGH_rev	pc	cplx_COMPLEX_AGT_ANPEP_pc;cplx_COMPLEX_AGT_DPP3_pc	0;0	ANGIO3ARGH	reverse	0	1 / hr
enzyme_ANGIO2ASPH	pc	cplx_COMPLEX_AGT_DNPEP_pc	234000	ANGIO2ASPH	forward	234000	1 / hr
enzyme_ANGIO2ASPH_rev	pc	cplx_COMPLEX_AGT_DNPEP_pc	0	ANGIO2ASPH	reverse	0	1 / hr
enzyme_ANGIO2DDP	pc	cplx_COMPLEX_AGT_DPP3_pc	234000	ANGIO2DDP	forward	234000	1 / hr
enzyme_ANGIO2DDP_rev	pc	cplx_COMPLEX_AGT_DPP3_pc	0	ANGIO2DDP	reverse	0	1 / hr
enzyme_ANGIO4DDP	pc	cplx_COMPLEX_AGT_DPP3_pc	234000	ANGIO4DDP	forward	234000	1 / hr
enzyme_ANGIO4DDP_rev	pc	cplx_COMPLEX_AGT_DPP3_pc	0	ANGIO4DDP	reverse	0	1 / hr
enzyme_ANGIO58PEP	pc	cplx_COMPLEX_AGT_PREP_pc	234000	ANGIO58PEP	forward	234000	1 / hr
enzyme_ANGIO58PEP_rev	pc	cplx_COMPLEX_AGT_PREP_pc	0	ANGIO58PEP	reverse	0	1 / hr
enzyme_ANGIO1THOP	pc	cplx_COMPLEX_AGT_THOP1_pc	234000	ANGIO1THOP	forward	234000	1 / hr
enzyme_ANGIO1THOP_rev	pc	cplx_COMPLEX_AGT_THOP1_pc	0	ANGIO1THOP	reverse	0	1 / hr
enzyme_VATPASEte	pc	cplx_COMPLEX_ATP6V0V1_pc	234000	VATPASEte	forward	234000	1 / hr
enzyme_VATPASEte_rev	pc	cplx_COMPLEX_ATP6V0V1_pc	0	VATPASEte	reverse	0	1 / hr
enzyme_PROTKTnAgGALT	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	234000	PROTKTnAgGALT	forward	234000	1 / hr
enzyme_PROTKTnAgGALT_rev	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	0	PROTKTnAgGALT	reverse	0	1 / hr
enzyme_PROTSTnAgGALT	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	234000	PROTSTnAgGALT	forward	234000	1 / hr
enzyme_PROTSTnAgGALT_rev	pc	cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	0	PROTSTnAgGALT	reverse	0	1 / hr
enzyme_ADRNCHR1ERx	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	ADRNCHR1ERx	forward	234000	1 / hr
enzyme_ADRNCHR1ERx_rev	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	0;0;0	ADRNCHR1ERx	reverse	0	1 / hr
enzyme_ADRNLQ1ERx_L	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	ADRNLQ1ERx_L	forward	234000	1 / hr
enzyme_ADRNLQ1ERx_L_rev	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	0;0;0	ADRNLQ1ERx_L	reverse	0	1 / hr
enzyme_AVITE1RCYTB5R	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	AVITE1RCYTB5R	forward	234000	1 / hr
enzyme_AVITE1RCYTB5R_rev	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	0;0;0	AVITE1RCYTB5R	reverse	0	1 / hr
enzyme_CYTB5ASCBR	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	CYTB5ASCBR	forward	234000	1 / hr
enzyme_CYTB5ASCBR_rev	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	0;0;0	CYTB5ASCBR	reverse	0	1 / hr
enzyme_DOPAQ1ERx_L	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	DOPAQ1ERx_L	forward	234000	1 / hr
enzyme_DOPAQ1ERx_L_rev	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	0;0;0	DOPAQ1ERx_L	reverse	0	1 / hr
enzyme_DPAMCHR1ERx	pc	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc;cplx_MONOMER_CYB5R3_pc	234000;234000;234000	DPAMCHR1ERx	forward	234000	1 / hr
