metabolites	metabolite	name	formula	charge	compartment	metabolomic evidence (#studies)	metabolomic evidence (pubmed)	references	notes
10fthf_c	10fthf	10-formyl-tetrahydrofolate	C20H21N7O7	-2	c
12ppd__R_c	12ppd__R	(R)-propane-1,2-diol	C3H8O2	0	c
12ppd__S_c	12ppd__S	(S)-propane-1,2-diol	C3H8O2	0	c
13dampp_c	13dampp	1,3-diaminopropane	C3H12N2	2	c
13dpg_c	13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	c
15kprostge1_c	15kprostge1	15-oxo-prostaglandin E1	C20H31O5	-1	c
15kprostge2_c	15kprostge2	15-oxo-prostaglandin E2	C20H29O5	-1	c
15kprostge3_c	15kprostge3	15-oxo-prostaglandin E3	C20H27O5	-1	c
15kprostgf1_c	15kprostgf1	15-oxo-prostaglandin F1alpha	C20H33O5	-1	c
15kprostgf2_c	15kprostgf2	15-oxo-prostaglandin F2alpha	C20H31O5	-1	c
15kprostgf3_c	15kprostgf3	15-oxo-prostaglandin F3alpha	C20H29O5	-1	c
15ppins4p_c	15ppins4p	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	C6H6O30P8	-14	c
1acadprib_c	1acadprib	1''-O-acetyl-ADP-D-ribose	C17H23N5O15P2	-2	c
1p3h5c__L_c	1p3h5c__L	L-1-pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	-1	c
1p3h5c__L_e	1p3h5c__L	L-1-pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	-1	e
1ppins5p_c	1ppins5p	1-diphospho-1D-myo-inositol 2,3,4,5,6-pentakisphosphate	C6H6O27P7	-13	c
1pyr5c__L_c	1pyr5c__L	L-1-pyrroline-5-carboxylate	C5H6NO2	-1	c
1pyr5c__L_e	1pyr5c__L	L-1-pyrroline-5-carboxylate	C5H6NO2	-1	e
1sgth2hoxe1_c	1sgth2hoxe1	2-hydroxyestrone-1-S-glutathione	C28H36N3O9S	-1	c
1sgth2hoxe1_e	1sgth2hoxe1	2-hydroxyestrone-1-S-glutathione	C28H36N3O9S	-1	e
1sgth2hoxe2_c	1sgth2hoxe2	2-hydroxy-17beta-estradiol-1-S-glutathione	C28H38N3O9S	-1	c
1sgth2hoxe2_e	1sgth2hoxe2	2-hydroxy-17beta-estradiol-1-S-glutathione	C28H38N3O9S	-1	e
20bdhcrtsl_c	20bdhcrtsl	20beta-dihydrocortisol	C21H32O5	0	c
20bdhcrtstrn_c	20bdhcrtstrn	20beta-dihydrocorticosterone	C21H32O4	0	c
23camp_c	23camp	2,3-Cyclic-AMP	C10H11N5O6P	-1	c
23ccmp_c	23ccmp	2,3-Cyclic-CMP	C9H11N3O7P	-1	c
23cgamp_c	23cgamp	2,3-Cyclic-GMP-AMP	C20H22N10O13P2	-2	c
23cgamp_e	23cgamp	2,3-Cyclic-GMP-AMP	C20H22N10O13P2	-2	e
23cgmp_c	23cgmp	2,3-Cyclic-GMP	C10H11N5O7P	-1	c
23cump_c	23cump	2,3-Cyclic-UMP	C9H10N2O8P	-1	c
23doguln_c	23doguln	2,3-diketo-L-gulonate	C6H7O7	-1	c
23dpg_c	23dpg	2,3-bisphospho-D-glycerate	C3H3O10P2	-5	c
2abut_c	2abut	(S)-2-Aminobutanoate	C4H9NO2	0	c
