reactions	metatlas	kegg.reaction	bigg.reaction	reactome	vmhreaction	metanetx.reaction	tcdb	rhea	spontaneous	ec-code
UNK3	MAR05391	R07396			UNK3r	MNXR95923		25796	0	2.6.1.5
4PYRDXABCte	MAR08103		4PYRDX		4PYRDX	MNXR95053			0
5AOPt2	MAR11307		5AOPt2		5AOPt2	MNXR95061			0
EX_ade_e	MAR09250		EX_ade_e		EX_acnacngal14acglcgalgluside_hs[e]				0
EX_adn_e	MAR09251		EX_adn_e		EX_acnacngalgbside_hs[e]				0
ACALDt	MAR04948		ACALDt		ACALDt	MNXR95212			0
EX_35cgmp_e	MAR09216		EX_35cgmp_e		EX_2hb[e]				0
ACGAM2E	MAR04527	R01207	ACGAM2E		ACGAM2E	MNXR95247			0	5.1.3.8
EX_adrnl__L_e	MAR09256		EX_adrnl_e		EX_adprbp[e]				0
ACGAMK	MAR04524	R01201	ACGAMK		ACGAMK	MNXR95249		17417	0	2.7.1.59
EX_ala__L_e	MAR09259		EX_ala__L_e		EX_akg[e]				0
EX_arg__L_e	MAR09270		EX_arg__L_e		EX_arab_L[e]	MNXR98286			0
ACNAM9PL	MAR04529	R04435	ACNAM9PL		ACNAM9PL	MNXR108888;MNXR95288			0	2.5.1.56;2.5.1.57
EX_ascb__L_e	MAR09158		EX_ascb__L_e		EX_ascb_L[e]				0
EX_3moxtyr_e	MAR10427		EX_3moxtyr_e		EX_3moxtyr[e]	MNXR98052			0
EX_4pyrdx_e	MAR09225		EX_4pyrdx_e		EX_4mptnl[e]				0
ACNAMPH	MAR04530	R01805	ACNAMPH		ACNAMPH	MNXR107181;MNXR95290			0	3.1.3.29
EX_ca2_e	MAR09082		EX_ca2_e		EX_ca2[e]	MNXR98318			0
ACNAMt2	MAR11308		ACNAMt2		ACNAMt2	MNXR95291		28987	0	3.1.4.12
EX_35camp_e
EX_chol_e	MAR09277		EX_chol_e		EX_carveol[e]				0
EX_cl_e	MAR09285		EX_cl_e		EX_chsterol[e]	MNXR98349			0
ACNML	MAR08373	R01811	ACNML		ACNMLr	MNXR95296		23296	0
EX_co_e
EX_co2_e	MAR09058		EX_co2_e		EX_co2[e]				0
FMNPH	MAR06507	R00548			ACP1_FMN_	MNXR95393		35587	0	3.1.3.2
EX_cys__L_e	MAR09065		EX_cys__L_e		EX_cys_L[e]				0
EX_dhdascb__L_e	MAR09299		EX_dhdascb_e		EX_debrisoquine[e]				0
EX_dpam__L_e	MAR09305		EX_dopa_e		EX_din[e]				0
EX_5aop_e	MAR10428		EX_5aop_e		EX_5aop[e]	MNXR98077			0
EX_etha_e
ACt2	MAR04935		ACt2r		ACt2r	MNXR95429	2.A.1.13.1;2.A.1.13.5		0
EX_fe2_e	MAR09315		EX_fe2_e		EX_estriolglc[e]	MNXR98464			0
ADA	MAR04481	R01560	ADA		ADA	MNXR95432		24408	0	3.5.4.4
EX_fru_e	MAR09139		EX_fru_e		EX_fru[e]				0
EX_fum_e	MAR11400		EX_fum_e		EX_fum[e]	MNXR98523			0
EX_gal_e	MAR09327		EX_gal_e		EX_fucgal14acglcgalgluside_hs[e]	MNXR98535			0
EX_ac_e	MAR09239		EX_ac_e		EX_7dhf[e]	MNXR98196			0
EX_gam_e	MAR09332		EX_gam_e		EX_galfuc12gal14acglcgalgluside_hs[e]				0
EX_acald_e	MAR09241		EX_acald_e		EX_abt[e]				0
ADEt	MAR04847		ADEt		ADEt	MNXR95445	2.A.57.1.4		0
EX_acnam_e	MAR11348		EX_acnam_e		EX_acnam[e]	MNXR98220			0
EX_glc__D_e	MAR09337		EX_glc__D_e		EX_gd1b2_hs[e]	MNXR98569			0
ADK1	MAR04002	R00127	ADK1		ADK1	MNXR95450		12973	0	2.7.4.3
EX_gln__L_e	MAR09339		EX_gln__L_e		EX_gd1c_hs[e]	MNXR98579			0
ADMDC	MAR04073	R00178	ADMDC		ADMDC	MNXR95455		15981	0	4.1.1.50
ADNCYC	MAR04000	R00089	ADNCYC		ADNCYC	MNXR95444		15389	0	4.6.1.1;4.6.1.2
ADNK1	MAR04012	R00185	ADNK1		ADNK1	MNXR95456		20824	0	2.7.1.20;2.7.1.74
EX_gly_e	MAR09067		EX_gly_e		EX_gly[e]				0
EX_glyc_e	MAR09085		EX_glyc_e		EX_glyc[e]				0
CRNAT_18_9Z	MAR00108		C181CPT1		C181CPT1	MNXR96396			0	2.3.1.21
ADNt	MAR05032		ADNt		ADNt	MNXR95460	2.A.57.1.1;2.A.57.1.4		0
CA2t	MAR11311		CA2t		CA2t	MNXR96436			0
EX_gthox_e	MAR09347		EX_gthox_e		EX_gq1balpha_hs[e]				0
EX_h_e	MAR09079		EX_h_e		EX_h[e]				0
EX_h2o_e	MAR09352		EX_h2o_e		EX_gtp[e]	MNXR98641			0
EX_h2o2_e	MAR09351		EX_h_e		EX_gthrd[e]	MNXR98643			0
ADPT	MAR04085	R00190	ADPT		ADPT	MNXR95482		16609	0	2.4.2.7
CAMPABCte	MAR07691		CAMPt		CAMPt	MNXR96448			0
ADRNLt	MAR09192				ADRNLtu				0
EX_hco3_e	MAR09354		EX_hco3_e		EX_h2o2[e]	MNXR98639			0
AGDC	MAR04629	R02059	AGDC		AGDC	MNXR95528		22936	0	3.5.1.25
