reactions	references
CRVNCROO7AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
CRVNCROO7AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
CRVNCROO8AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
CRVNCROO8AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
EDP1011EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1314EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1617EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP1920EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EDP78EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
HPDHA10GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA11GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA13GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA14GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA16GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA17GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA20GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA4GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA7GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPDHA8GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
EEQ1112EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ1415EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ1718EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ56EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
EEQ89EPHX	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511
HPEPE11GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE12GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE15GTHR	pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE18GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE5GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE8GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
HPEPE9GTHR	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550
TMDNC1112MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
TMDNC1415MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
TMDNC1718MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
TMDNC56MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
TMDNC89MOXy	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951
TMNDNCOHRI	pubmed:18243141;pubmed:9164668
TMNDNCRO2P	pubmed:18243141;pubmed:9164668
TMNDNCROO11AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO11AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO12AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO12AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO15AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO15AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO18AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO18AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO5AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO5AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO8AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO8AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO9AVITE1RT	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
TMNDNCROO9AVITE1T	pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668
23E1QN1GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E1QN4GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E1SQOX	pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738
23E2QN1GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E2QN4GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
23E2SQOX	pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738
2OHE1MT	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090
2OHE1MT2	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090
2OHE1PX	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738
2OHE2MT	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090
2OHE2MT2	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090
2OHE2PX	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738
34E1QN2GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
34E1SQOX	pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738
34E2QN2GST	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738
34E2SQOX	pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738
4OHE1MT	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090
4OHE1PX	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738;pubmed:9432090
4OHE2MT	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738
4OHE2PX	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738
ESTRADIOL23Q1ERx	pubmed:1897935;pubmed:30222979;pubmed:34406011
ESTRADIOL23Q2ERy	pubmed:21910479;pubmed:34406011
ESTRADIOL23Q2ERz	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738
ESTRADIOL23SQDP	pubmed:1398218;pubmed:20493944;pubmed:32846902
ESTRADIOL2OXRx	pubmed:34406011
ESTRADIOL2OXRy	pubmed:34406011
ESTRADIOL34Q1ERx	pubmed:1897935;pubmed:30222979;pubmed:34406011
ESTRADIOL34Q2ERy	pubmed:21910479;pubmed:34406011
ESTRADIOL34Q2ERz	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738
ESTRADIOL34SQDP	pubmed:1398218;pubmed:20493944;pubmed:32846902
ESTRADIOL4OXRx	pubmed:34406011
ESTRADIOL4OXRy	pubmed:34406011
ESTRONE23Q1ERx	pubmed:1897935;pubmed:30222979;pubmed:34406011
ESTRONE23Q2ERy	pubmed:21910479;pubmed:34406011
ESTRONE23Q2ERz	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738
ESTRONE23SQDP	pubmed:1398218;pubmed:20493944;pubmed:32846902
ESTRONE2OXRx	pubmed:34406011
ESTRONE2OXRy	pubmed:34406011
ESTRONE34Q1ERx	pubmed:1897935;pubmed:30222979;pubmed:34406011
ESTRONE34Q2ERy	pubmed:21910479;pubmed:34406011
ESTRONE34Q2ERz	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738
ESTRONE34SQDP	pubmed:1398218;pubmed:20493944;pubmed:32846902
ESTRONE4OXRx	pubmed:34406011
ESTRONE4OXRy	pubmed:34406011
ESTRONEDHy	pubmed:163969;pubmed:34406011;pubmed:4151981;pubmed:4405572;pubmed:6932280;pubmed:8000511
LPCOAT	pubmed:5488773;pubmed:5689955
LPCOLPLD	pubmed:10819963;pubmed:32367017
LPCPAT	pubmed:10819963;pubmed:18156367;pubmed:32367017;pubmed:5488773;pubmed:5689955
LPEPAT	pubmed:10819963;pubmed:32367017
NAPEPLD	pubmed:10819963;pubmed:15630208
PAOACPP	pubmed:10819963;pubmed:32367017
PCOPLA2	pubmed:10819963;pubmed:17164127;pubmed:32367017
PCPPLA2	pubmed:10819963;pubmed:17164127;pubmed:32367017
PEPPLA2	pubmed:10819963;pubmed:17164127;pubmed:32367017
FACOAL_10_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_11_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_12_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:4065333;pubmed:7702576;pubmed:9972864
FACOAL_13_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_14_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_14_5Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_14_7Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_14_9Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_15_0	pubmed:14175619;pubmed:2919129;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_16_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_16_7Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_16_9Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_17_0	pubmed:14175619;pubmed:2919129;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_17_10Z	pubmed:14175619;pubmed:2919129;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_17_9Z	pubmed:14175619;pubmed:2919129;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_11Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_13Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_6Z9Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_6Z9Z12Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_6Z9Z12Z15Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_7Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_9E	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_9Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_9Z12Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_18_9Z12Z15Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_19_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_11Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_11Z14Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_11Z14Z17Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_13Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_5Z8Z11Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_5Z8Z11Z14Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_5Z8Z11Z14Z17Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_8Z11Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_8Z11Z14Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_8Z11Z14Z17Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_20_9Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_21_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_10Z13Z16Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_10Z13Z16Z19Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_11Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_13Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_13Z16Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_13Z16Z19Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_4Z7Z10Z13Z16Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_4Z7Z10Z13Z16Z19Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_7Z10Z13Z16Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_22_7Z10Z13Z16Z19Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_23_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_12Z15Z18Z21Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_15Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_6Z9Z12Z15Z18Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_6Z9Z12Z15Z18Z21Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_9Z12Z15Z18Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_24_9Z12Z15Z18Z21Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_26_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_26_17Z	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576;pubmed:9972864
FACOAL_2_0	pubmed:4379089;pubmed:6115779
FACOAL_3_0	pubmed:4379089
FACOAL_4_0
FACOAL_5_0
FACOAL_6_0
FACOAL_7_0
FACOAL_8_0
FACOAL_9_0	pubmed:14175619;pubmed:32367017;pubmed:4005276;pubmed:7702576
ACOATA	pubmed:4379089
FA120ACPH	pubmed:4379089
FA140ACPH	pubmed:4379089
FA160ACPH	pubmed:4379089
FA180ACPH	pubmed:4379089
MCOATA	pubmed:4379089
3OHAACPDH1	pubmed:4379089
3OHAACPDH2	pubmed:4379089
3OHAACPDH3	pubmed:4379089
3OHAACPDH4	pubmed:4379089
3OHAACPDH5	pubmed:4379089
3OHAACPDH6	pubmed:4379089
3OHAACPDH7	pubmed:4379089
3OHAACPDH8	pubmed:4379089
3OXAACPR1y	pubmed:4379089
3OXAACPR2y	pubmed:4379089
3OXAACPR3y	pubmed:4379089
3OXAACPR4y	pubmed:4379089
3OXAACPR5y	pubmed:4379089
3OXAACPR6y	pubmed:4379089
3OXAACPR7y	pubmed:4379089
3OXAACPR8y	pubmed:4379089
BKAACPSYN1	pubmed:4379089
BKAACPSYN2	pubmed:4379089
BKAACPSYN3	pubmed:4379089
BKAACPSYN4	pubmed:4379089
BKAACPSYN5	pubmed:4379089
BKAACPSYN6	pubmed:4379089
BKAACPSYN7	pubmed:4379089
BKAACPSYN8	pubmed:4379089
EACPR1y	pubmed:4379089
EACPR2y	pubmed:4379089
EACPR3y	pubmed:4379089
EACPR4y	pubmed:4379089
EACPR5y	pubmed:4379089
EACPR6y	pubmed:4379089
EACPR7y	pubmed:4379089
EACPR8y	pubmed:4379089
FACOA2ERy_20_2E11Z
FACOA2ERy_20_2E13Z
FACOA2ERy_20_2E8Z11Z
FACOA2ERy_20_2E9Z
FACOA2ERy_22_2E11Z
FACOA2ERy_22_2E13Z
FACOA2ERy_24_2E15Z
FACOA2ERy_26_2E17Z
FACOA3OHDH_20_11Z3OH
FACOA3OHDH_20_13Z3OH
FACOA3OHDH_20_8Z11Z3OH
FACOA3OHDH_20_9Z3OH
FACOA3OHDH_22_11Z3OH
FACOA3OHDH_22_13Z3OH
FACOA3OHDH_24_15Z3OH
FACOA3OHDH_26_17Z3OH
FACOA3ORy_20_11Z3O	pubmed:33806028
FACOA3ORy_20_13Z3O	pubmed:33806028
FACOA3ORy_20_8Z11Z3O	pubmed:33806028
FACOA3ORy_20_9Z3O	pubmed:33806028
FACOA3ORy_22_11Z3O	pubmed:33806028
FACOA3ORy_22_13Z3O	pubmed:33806028
FACOA3ORy_24_15Z3O	pubmed:33806028
FACOA3ORy_26_17Z3O	pubmed:33806028
CYTBFADSD5_20_8Z11Z14Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD5_20_8Z11Z14Z17Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z12Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_18_9Z12Z15Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_20_11Z14Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD6_20_11Z14Z17Z	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD9_16_0	pubmed:33310680;pubmed:33904180;pubmed:4379089
CYTBFADSD9_18_0	pubmed:33310680;pubmed:33904180;pubmed:4379089
FACOA2ERy_16_2E
FACOA2ERy_18_2E
FACOA2ERy_20_2E
FACOA2ERy_22_2E
FACOA2ERy_24_2E
FACOA2ERy_26_2E
FACOA3OHDH_16_3OH
FACOA3OHDH_18_3OH
FACOA3OHDH_20_3OH
FACOA3OHDH_22_3OH
FACOA3OHDH_24_3OH
FACOA3OHDH_26_3OH
FACOA3ORy_16_3O	pubmed:33806028
FACOA3ORy_18_3O	pubmed:33806028
FACOA3ORy_20_3O	pubmed:33806028
FACOA3ORy_22_3O	pubmed:33806028
FACOA3ORy_24_3O	pubmed:33806028
FACOA3ORy_26_3O	pubmed:33806028
FACOA2ERy_17_2E
FACOA2ERy_19_2E
FACOA2ERy_21_2E
FACOA2ERy_23_2E
FACOA3OHDH_17_3OH
FACOA3OHDH_19_3OH
FACOA3OHDH_21_3OH
FACOA3OHDH_23_3OH
FACOA3ORy_17_3O	pubmed:33806028
FACOA3ORy_19_3O	pubmed:33806028
FACOA3ORy_21_3O	pubmed:33806028
FACOA3ORy_23_3O	pubmed:33806028
CRNAT_10_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_10_2E6Z	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_10_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_10_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_11_4M8M_c	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_12_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_12_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_12_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_5E8Z	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_5E8Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_14_7Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_7E10Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_9Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_16_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9Z12Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_18_9Z3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_3_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_3_3OH_S	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_3_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_4_2E	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_4_2M	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_4_3OH_R	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_4_DC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_5_2EDC	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
CRNAT_5_2M	pubmed:31385330;pubmed:33103907;pubmed:33477427;pubmed:35710135
