	genes	drugbank	pubchem.compound
85	CKM	DB00148;DB00300;DB00787;DB02490;DB04027;DB13191;DB14126	11954236;2022;464205;586;6398764;9548602
86	CLCN2	DB01046;DB05514	157920;16757521
87	CLIC1	DB09130;DB11638	107770
88	CMPK1	DB00441;DB00709;DB01048;DB01262;DB03403;DB03435;DB03664;DB04444;DB08934	451668;45375808;468908;60750;60825
89	COMT	DB00118;DB00252;DB00255;DB00286;DB00323;DB00494;DB00668;DB00714;DB00783;DB00841;DB00968;DB00977;DB00988;DB01064;DB01141;DB01420;DB02105;DB02342;DB03336;DB03907;DB04820;DB06152;DB07462;DB08049;DB11632;DB13956;DB15488	13791;1775;23666118;23667301;34755;36811;3779;38853;441411;448537;4659569;477468;5281081;5757;5807;5815;5816;5991;5995;66414;681;76966913;9410
90	CPT1A	DB00583;DB01016;DB01074	10917;3488
91	CSNK1A1	DB12010	11671467;25008120
92	CSNK1G1	DB08325	
93	CSNK1G3	DB04751;DB07488;DB07489;DB07664	
94	CSNK2A1	DB00171;DB01765;DB02170;DB02709;DB03035;DB03127;DB03924;DB04216;DB04395;DB04462;DB04719;DB04720;DB04721;DB07715;DB07802;DB08338;DB08340;DB08345;DB08353;DB08354;DB08360;DB08362;DB08473;DB08660;DB08846;DB12010	11671467;25008120;3220;445154;5280343;5281855;5957
95	CSNK2A2	DB07546;DB12010	11671467;25008120
96	CSNK2B	DB00171;DB04216	5280343;5957
97	CTH	DB00114;DB00151;DB02328;DB03928;DB04217;DB06151	1051;5862
98	CTPS1	DB00130	5961
99	CYB5A	DB04009;DB11136;DB14526;DB14527;DB14528;DB14529;DB14530	
100	CYB5B	DB12695	16741
101	CYB5R3	DB00157;DB03147;DB09130	
102	CYBRD1	DB13257;DB14520	
103	DARS1	DB00128	
104	DCXR	DB02831;DB03461	
105	DGKA	DB00163;DB14001	14985
106	DGKD	DB00144;DB14001	
107	DHFR	DB00157;DB00158;DB00205;DB00555;DB00563;DB00642;DB00798;DB01131;DB01157;DB02104;DB02427;DB02559;DB02583;DB02919;DB03060;DB03125;DB03351;DB03461;DB03695;DB03886;DB03987;DB06358;DB06813;DB07140;DB07141;DB07142;DB07144;DB08234;DB08406;DB08448;DB08642;DB08878	126941;148121;169371;213043;3467;3878;446556;4993;5583;6037;6918197;9570076
108	DHRS11	DB03461	
109	DNPEP	DB00142	
110	DTYMK	DB01643;DB03150;DB03195;DB03233;DB03280;DB03666;DB03845;DB04395	
111	EBP	DB00675	2733525;2733526
112	EEF2	DB02059;DB03223;DB04315;DB08348;DB11823;DB12688	182137;44632368
113	ENO1	DB01593;DB09130;DB11638;DB14487;DB14533;DB14548	107770;11192
114	ENO2	DB02726	
115	ENOPH1	DB07912;DB09325	5235
116	EPHX1	DB00252;DB00808	1775;3702
117	EPRS1	DB00142;DB00172;DB02510;DB02684;DB03376	
118	ESD	DB00143	124886
119	FABP1	DB02074;DB02216;DB02659;DB04224	221493;445639
120	FABP5	DB03796	985
121	FADS1	DB00132;DB00159;DB09328;DB11358;DB13168	446284;5280934
122	FADS2	DB00132;DB11358;DB13168	5280934
123	FAH	DB01677;DB01762;DB01832	444972
124	FARSA	DB00120	6140
125	FARSB	DB00120	6140
126	FASN	DB01034;DB01083	3034010;5282054
127	FDPS	DB00282;DB00399;DB00630;DB00710;DB00884;DB01785;DB02508;DB02552;DB04714;DB06255;DB06548;DB07780;DB07841	130956;16760285;2088;23670359;4674;5245;60852;68740
128	FKBP1A	DB00337;DB00864;DB01712;DB01723;DB01951;DB02311;DB02888;DB03338;DB03621;DB04012;DB04094;DB05814;DB08231;DB08520;DB08597	11524144;445643;6509979
129	FTH1	DB00893;DB01011;DB01592;DB06784;DB13995;DB14488;DB14489;DB14490;DB14491;DB14501	109374151;27284;6433164;76964591
130	FTL	DB00893;DB01011;DB02285;DB06784;DB09147;DB09517;DB13995	109374151;27284
131	FXN	DB01592;DB14488;DB14489;DB14490;DB14491;DB14501	6433164;76964591
132	FYN	DB01254;DB02078;DB12010;DB16656	11671467;25008120;3062316
133	G6PD	DB03085;DB03461;DB05107;DB11638	107770
134	GALE	DB01861;DB02196;DB03041;DB03095;DB03397;DB03501	
135	GALK1	DB04395	
136	GAPDH	DB00157;DB02059;DB03893;DB07347;DB09092;DB09130;DB11638	107770
137	GAPDHS	DB00157;DB01593;DB02205;DB03331;DB04477;DB11638;DB14487;DB14533;DB14548	107770;11192
138	GARS1	DB00145	750
139	GART	DB00642;DB02236;DB03546	446556;6918197
140	GCLC	DB00142;DB00151;DB00163;DB06151;DB14001;DB14002	14985;5862
141	GCLM	DB00142;DB00151;DB06151	5862
142	GFUS	DB00157	
143	GLO1	DB00143;DB00328;DB03130;DB03330;DB03345;DB03602;DB04132;DB08179	124886;3715
144	GLRX	DB00143	124886
145	GLUL	DB00082;DB00130;DB00134;DB00142;DB00466;DB01212;DB06774;DB08794;DB11118	1548943;5479530;5961;876
146	GMDS	DB02547;DB04315	
147	GMPR	DB01972	6804
148	GMPS	DB00130;DB00142;DB00993	2265;5961
149	GNPDA1	DB02379;DB02445;DB03951	
150	GOT1	DB00114;DB00128;DB00142;DB00151;DB00210;DB04299;DB06151;DB09130	1051;5862;60164
151	GOT2	DB00114;DB00128;DB00142;DB00151;DB02783;DB06151	1051;5862
152	GPHN	DB01942;DB03366;DB03766	
153	GPI	DB02007;DB02076;DB02093;DB02548;DB03042;DB03581;DB03937;DB04493;DB09130;DB11638	107770
154	GPT	DB00114;DB00142;DB00160;DB00780	1051;3675
155	GPX1	DB00143;DB03310;DB09061;DB09096;DB09221;DB11091;DB11127;DB11590;DB14009;DB14011	124886;16682923;24934;44148067;644019;65359;7187
156	GPX4	DB00143;DB03310;DB09096	124886;65359;7187
157	GRIA1	DB00142;DB00237;DB00555;DB00753;DB00898;DB01028;DB01189;DB01236;DB04982;DB05047;DB06247;DB08883;DB09289;DB09511;DB09526;DB13146	122173976;164509;174;3763;3878;4116;42113;5206;68870;702;9924495
158	GSK3A	DB12010	11671467;25008120
159	GSR	DB00143;DB00157;DB00262;DB01644;DB02153;DB02553;DB02895;DB03147;DB03310;DB03867;DB07393;DB07714;DB09061;DB09130;DB11135;DB11590;DB14009;DB14011	124886;16682923;2578;44148067;644019;65359
160	GSS	DB00143;DB00145;DB00151;DB03408;DB04395;DB06151;DB09130	12035;124886;5862;750
161	GSTA2	DB00143;DB00163;DB00291;DB00321;DB00608;DB00636;DB00903;DB00993;DB01008;DB03310;DB03619;DB14001;DB14002	11065;124886;14985;2160;222528;2265;2478;2708;2719;2796;3278;64927;65359
162	GSTM1	DB00143;DB00291;DB00316;DB00321;DB00515;DB00526;DB00608;DB00958;DB00993;DB01008;DB01020;DB01834;DB02165;DB02458;DB03310;DB03314;DB03619;DB04187;DB11672;DB14924	10339178;11065;11947679;124886;1983;2160;222528;2265;2478;2708;2719;27661;5702198;64927;65359;969516
163	GSTM2	DB00143;DB00291;DB00321;DB02458;DB03310;DB03619;DB04701	11065;124886;2160;222528;2708;65359
164	GSTM3	DB00143;DB00163;DB00291;DB00321;DB03310;DB03619;DB14001;DB14002;DB14924	11065;124886;14985;2160;222528;2708;65359
165	GSTM4	DB00143;DB00291;DB00321;DB03003;DB03032;DB03310;DB03597;DB03619;DB03706;DB04132	11065;124886;2160;222528;2708;65359
166	GSTO1	DB00143;DB00163;DB14001;DB14002	124886;14985
167	GSTP1	DB00143;DB00163;DB00197;DB00291;DB00316;DB00321;DB00363;DB00515;DB00526;DB00773;DB00903;DB00958;DB01008;DB01030;DB01242;DB01834;DB01915;DB02633;DB03003;DB03310;DB03619;DB03686;DB03814;DB04132;DB04972;DB05460;DB06246;DB07849;DB08370;DB11672;DB11831;DB13014;DB14001;DB14002;DB14635;DB14924	10339178;11065;11947679;124886;14985;1983;2160;222528;2478;2708;2801;2818;3278;36462;5281051;5472495;5591;5702198;65359;68539;6918092;969516
168	GSTT1	DB00143;DB00291;DB00321;DB00515;DB00526;DB00773;DB00958;DB01030;DB03310;DB03619;DB09221	10339178;11065;11947679;124886;2160;222528;2708;36462;5702198;65359;6918092
169	GSTZ1	DB00143;DB04447;DB08809;DB09462;DB14924	124886;25975;753
170	GUCY1A1	DB09401	
171	GUCY1B1	DB09401;DB15456	54674461
172	GUK1	DB00577;DB00787;DB01972	135398742;2022;6804
173	GYG1	DB01861;DB03435	
174	HAGH	DB00143;DB03889	124886
175	HARS1	DB00117	6274
176	HBA	DB00893;DB01011;DB01592;DB01593;DB02126;DB06154;DB07427;DB07428;DB07645;DB08077;DB08262;DB08486;DB08632;DB09112;DB09130;DB09140;DB09147;DB09517;DB13257;DB13995;DB14487;DB14488;DB14489;DB14490;DB14491;DB14501;DB14533;DB14548;DB14975;DB15617	109374151;11192;23668193;27284;6433164;71602803;76964591
177	HBB	DB00893;DB01011;DB01593;DB02126;DB06154;DB07427;DB07428;DB07645;DB08077;DB08262;DB08486;DB08632;DB09112;DB09130;DB09140;DB09147;DB09517;DB13995;DB14487;DB14533;DB14548	109374151;11192;23668193;27284
178	HCK	DB01809;DB01962;DB04216;DB06616;DB12010	11671467;25008120;5280343;5328940
179	HEXB	DB00205;DB02813;DB03747;DB03861;DB09301	4993
180	HINT1	DB00131;DB01972;DB02162;DB02183;DB03349;DB08934	45375808;6804
181	HK1	DB01914;DB02007;DB02379;DB04395;DB06266;DB09150;DB09341;DB09502;DB15690	39562;450503
182	HNMT	DB00613;DB01103;DB01752;DB04655;DB05381;DB07106;DB13875	2165;5818;6239;774
183	HPGDS	DB00143;DB00291;DB00321;DB01897;DB03310;DB03619;DB07613;DB07614;DB07615;DB07616;DB07917;DB08313;DB08695;DB08790	11065;124886;2160;222528;2708;5282230;65359
184	HPRT1	DB00352;DB00993;DB01033;DB01632;DB02309;DB03153;DB04356	2265;2723601;667490
185	HSD17B11	DB02854	
186	HSP90AA1	DB00615;DB00716;DB02359;DB02424;DB02550;DB02754;DB02840;DB03093;DB03137;DB03504;DB03749;DB03809;DB03899;DB04054;DB04216;DB04254;DB04505;DB04588;DB05134;DB06070;DB06956;DB06957;DB06958;DB06961;DB06964;DB06969;DB07100;DB07317;DB07319;DB07324;DB07325;DB07495;DB07502;DB07594;DB07601;DB07877;DB08194;DB08197;DB08436;DB08442;DB08443;DB08557;DB08786;DB08787;DB08788;DB08789;DB09130;DB09221;DB12442	50294;5280343;5288382;5288674;6323490;6440175;9852573
187	HSPA8	DB01254;DB07045;DB09130;DB11638	107770;3062316
188	IARS1	DB00167	6306
189	IDH1	DB01727;DB03461;DB09374;DB14568;DB16267	71657455
190	IMPA1	DB01356;DB03542;DB14507;DB14508;DB14509	11125;3028194
191	IMPDH2	DB00157;DB00603;DB00688;DB00811;DB00993;DB01024;DB01033;DB03070;DB03948;DB04566;DB06103	2265;23665584;37542;446541;5281078;667490;6918995
192	INPP5B	DB03158	
193	INSR	DB00030;DB00046;DB00047;DB00071;DB01277;DB01306;DB01307;DB01309;DB03909;DB05115;DB05120;DB06075;DB08513;DB09129;DB09456;DB09564;DB11564;DB11567;DB11568;DB12010;DB12267;DB14751;DB15399;DB16637	11671467;118984375;118984454;16132418;16132438;16137271;24785538;25008120;68165256
194	ISYNA1	DB01840;DB04516;DB09462	753
195	ITPA	DB00993;DB04272	2265;311
196	JAK3	DB04716;DB06321;DB08877;DB08895;DB11763;DB11817;DB12010;DB14924;DB14973;DB15035	10174505;11671467;135565884;25008120;25062766;25126798;25127112;44205240;9926791
197	KARS1	DB00123	
198	KCNN4	DB00257;DB00468;DB00721;DB00867;DB01054;DB01110;DB01159;DB02587;DB09089	2812;3034034;3040551;4189;4507;47936;5388977;68553;91558
199	KRAS	DB07771;DB07780;DB15568;DB15569	
200	LAP3	DB02386;DB07448;DB08766	
201	LARS1	DB00149;DB00650	6106
202	LCMT1	DB00149;DB00650	6106
203	LDHA	DB00157;DB02483;DB02701;DB03940;DB09118;DB09130;DB11638;DB17635	107770;5311454;936
204	LDHB	DB00157;DB02401;DB03940;DB09118;DB11638	107770;5311454
205	LSS	DB02016;DB03696	1949
206	LTA4H	DB01197;DB02062;DB02352;DB03366;DB03424;DB05177;DB06828;DB06851;DB06917;DB07094;DB07099;DB07102;DB07104;DB07196;DB07237;DB07258;DB07259;DB07260;DB07292;DB08040;DB08466;DB11781	15547703;44093;72172
207	LYN	DB01254;DB03023;DB06616;DB08901;DB09079;DB12010	11671467;24826799;25008120;3062316;5328940;9809714;9809715
208	MAP2K1	DB02152;DB03115;DB05239;DB06616;DB06892;DB07046;DB07101;DB08130;DB08208;DB08911;DB11689;DB11967;DB14904	10127622;10288191;11707110;16214875;16222096;3035817;5328940;9826528
209	MAP2K2	DB06616;DB08911;DB11689;DB11967;DB12010;DB14904	10127622;10288191;11671467;11707110;16214875;25008120;5328940
210	MAP2K3	DB12010;DB14904	11671467;25008120
211	MAP2K6	DB12010;DB14904	11671467;25008120
212	MAPK1	DB00945;DB01017;DB01169;DB02116;DB02482;DB02587;DB02733;DB04338;DB06195;DB06641;DB06877;DB07010;DB07264;DB07788;DB07794;DB07905;DB08513;DB08521;DB11120;DB13930	11719003;148177;160355;2244;261004;4592;47936;54675783
213	MAPK3	DB00605;DB00945;DB01017;DB01169;DB02587;DB02733;DB04604;DB06195;DB08862;DB13930	11719003;1548887;160355;2244;261004;47936;54675783
214	MAPKAPK2	DB02010;DB07234;DB07406;DB07430;DB07431;DB07728;DB08358	44259
215	MARS1	DB00134	876
216	MAT2A	DB00118;DB00134	34755;876
217	MAT2B	DB00134	876
218	MDH1	DB00157;DB03461;DB11638	107770
219	ME1	DB00157;DB03461	
220	MGST2	DB00143;DB01008;DB14924	124886;2478
221	MIF	DB01880;DB02728;DB07718;DB07888;DB08333;DB08334;DB08335;DB08765	689043
222	MTAP	DB00173;DB02158;DB02281;DB02282;DB02933	439176
223	MTHFD1	DB00116;DB00157;DB02358;DB03461;DB04322	
224	NADSYN1	DB00130;DB00142	5961
225	NAGK	DB00141	439174
226	NAMPT	DB05217;DB12731;DB12980	
227	NAPEPLD	DB14009	
228	NARS1	DB00174	
229	NME1	DB00300;DB00441;DB00640;DB00709;DB00718;DB00787;DB01048;DB01262;DB01593;DB02181;DB02345;DB02569;DB02607;DB02887;DB03103;DB03491;DB04068;DB04315;DB04366;DB04542;DB08934;DB09130;DB09299;DB14126;DB14487;DB14533;DB14548	11192;11954236;2022;451668;45375808;464205;468908;60750;60825;60961;6398764;71492247;9574768
230	NME2	DB00300;DB00640;DB00709;DB00718;DB00787;DB01048;DB01262;DB04315;DB09299;DB14126	11954236;2022;451668;464205;468908;60825;60961;6398764;71492247;9574768
231	NMNAT3	DB02596;DB03227;DB04099	
232	NOS3	DB00125;DB00155;DB00360;DB00435;DB00997;DB01110;DB01686;DB01821;DB01833;DB01997;DB02027;DB02044;DB02048;DB02077;DB02141;DB02207;DB02234;DB02335;DB02589;DB02911;DB02979;DB02994;DB03065;DB03100;DB03144;DB03305;DB03332;DB03707;DB03910;DB03918;DB03963;DB03974;DB04018;DB04223;DB04534;DB04559;DB06154;DB07001;DB07244;DB07388;DB08018;DB08019;DB09237	31703;4189;636369;68553;9750;9822750
233	NPEPPS	DB11638;DB11781	107770;15547703
234	NQO2	DB00157;DB00170;DB01065;DB01087;DB02709;DB03147;DB03541;DB04216;DB04253;DB06695;DB07339;DB08190;DB08228;DB08744	4055;445154;5280343;6135;896
235	NSF	DB01902	
236	NT5C	DB00709;DB01048	468908;60825
237	NT5C2	DB00171;DB00811;DB06408	37542;451447;5957
238	ODC1	DB00114;DB00127;DB00203;DB00313;DB01917;DB02209;DB02824;DB03856;DB04083;DB04263;DB06243	1051;1103;123865;16760703;23663956;3009;3121;5212;62853
239	OGA	DB00428	29327
240	OXSR1	DB12010	11671467;25008120
241	P2RX1	DB01069	4927;6014
242	P2RX2	DB01069;DB15097	4927;6014
243	P2RX7	DB01069	4927;6014
244	P4HB	DB01593;DB03615;DB09130;DB11638;DB14487;DB14533;DB14548	107770;11192
245	PAFAH1B3	DB07821	
246	PAICS	DB00128	
247	PAK2	DB12010	11671467;25008120
248	PANX1	DB01032	4911
249	PARK7	DB09130	
250	PCBD1	DB04400	
251	PCK1	DB00787;DB01819;DB02008;DB03267;DB03725;DB09338	2022
252	PCMT1	DB01752	
253	PCYT1A	DB00122;DB00709;DB01048;DB14006	468908;60825
254	PCYT1B	DB00122;DB14006	
255	PCYT2	DB00709;DB01048	468908;60825
256	PDE1A	DB00201;DB00622;DB01023;DB01244;DB09283	2519;3333;41114;4474;50088;6241
257	PDE2A	DB00201;DB02315;DB05142;DB06246;DB07954;DB08811;DB09273;DB09283	2519;50942;5472495;6241
258	PDE3A	DB00201;DB00235;DB00261;DB00277;DB00922;DB01166;DB01223;DB01303;DB01427;DB04880;DB05266;DB08811;DB09283	2153;2182;2519;2754;3033825;3671;3698;4197;42786;53708;6241
259	PDE3B	DB00201;DB01113;DB01427;DB01640;DB01970;DB07954;DB09283	2519;3698;4680;6084;6241
260	PDE4D	DB00131;DB00201;DB00651;DB01088;DB01113;DB01427;DB01656;DB01791;DB01954;DB01959;DB02676;DB02918;DB03183;DB03606;DB03849;DB04149;DB04271;DB04469;DB05219;DB05266;DB05298;DB06246;DB06842;DB07051;DB07954;DB08299;DB09283	154575;2519;3025803;3671;3698;44591583;449193;4680;5092;5311181;5472495;6084;6241
261	PDE5A	DB00201;DB00203;DB00277;DB00820;DB00862;DB00975;DB01113;DB01223;DB01972;DB03597;DB05415;DB06237;DB06246;DB06267;DB07954;DB08729;DB09282;DB09283;DB12010	110634;110635;11671467;2153;25008120;2519;3108;4680;5212;5472495;6084;6241;62853;6804;6918523;9869929
262	PDE9A	DB00201;DB03597;DB07954;DB09283	2519;6241
263	PDIA3	DB01593;DB09130;DB14487;DB14533;DB14548	11192
264	PDXK	DB00147;DB00165;DB03909;DB04770;DB04776	1054;6019
265	PDXP	DB00114;DB00165	1051;1054;6019
266	PFAS	DB00130;DB00142	5961
267	PGAM1	DB09130;DB11638	107770
268	PGD	DB00563;DB00695;DB00789;DB00814;DB00851;DB00867;DB00920;DB02076;DB03962	126941;3040551;3440;3827;54677470;55466
269	PGK1	DB00709;DB00787;DB01048;DB03909;DB04510;DB09130;DB11638	107770;2022;468908;60825
270	PGK2	DB00787	2022
271	PGM1	DB02835;DB04397;DB06773	
272	PHGDH	DB00157	
273	PHOSPHO1	DB00122	
274	PIK3C3	DB06836;DB11962	
275	PIP4K2B	DB12010	11671467;25008120
276	PIP4K2C	DB12010	11671467;25008120
277	PISD	DB00144	
278	PKLR	DB00119;DB00787;DB02726;DB04551;DB16236	2022;23662274
279	PKM	DB00119;DB00787;DB01733;DB02726;DB07628;DB07692;DB07697;DB08951;DB09130;DB11263;DB11638	107770;2022;23662274;3718
280	PLA2G4A	DB00041;DB00086;DB00411;DB00445;DB00578;DB00588;DB00721;DB01083;DB01103;DB04552;DB04786;DB04827;DB05029;DB06311;DB13867	121489349;3034010;41867;444036;5311101;5361;5831;6239;65348;8514;9939609
281	PLD1	DB00122;DB05301;DB09031;DB14006	3599
282	PNP	DB00242;DB00640;DB00900;DB01667;DB02222;DB02230;DB02377;DB02391;DB02568;DB02796;DB02857;DB03101;DB03551;DB03609;DB03881;DB04076;DB04260;DB04335;DB04753;DB04754;DB04757;DB06185	11493192;20279;50599;6021;60961
283	PNPO	DB00114;DB02209;DB03247;DB03345	1051;23666409
284	PPCDC	DB03247;DB03738	23666409
285	PPIA	DB00091;DB00172;DB01742;DB02419;DB03393;DB09130;DB11638	107770;5284373;5388925
286	PPIB	DB00172;DB04447	
287	PPP1CA	DB02506	
288	PPP1CC	DB02169;DB02860;DB04738	
289	PPP2CA	DB00163;DB02506;DB06905	14985
290	PPP2CB	DB00163	14985
291	PPP2R1A	DB02506;DB06905	
292	PRDX1	DB01593;DB09130;DB09221;DB11638;DB14487;DB14533;DB14548	107770;11192
293	PRDX2	DB02153;DB04048;DB09130	
294	PRDX5	DB00995;DB03608;DB09221	16667669;2354
295	PRDX6	DB03814;DB09130	
296	PREP	DB00107;DB01684;DB03382;DB03535;DB03864;DB07148;DB08738;DB08739	439302
297	PRKAA1	DB00131;DB00171;DB00273;DB00914;DB00945;DB12010	11671467;2244;25008120;5284627;5957;8249
298	PRKAB1	DB00131;DB00273;DB00331;DB00945;DB12010	11671467;14219;2244;25008120;4091;5284627
299	PRKACA	DB01919;DB01940;DB02155;DB02482;DB02611;DB03374;DB04098;DB04522;DB04530;DB04707;DB06959;DB06977;DB07107;DB07124;DB07204;DB07235;DB07458;DB07583;DB07854;DB07855;DB07856;DB07857;DB07858;DB07859;DB07860;DB07876;DB07947;DB07995;DB07996;DB07997;DB08070;DB08073;DB08113;DB08114;DB08148;DB08149;DB08150;DB08162;DB08231;DB08568;DB08569;DB08756;DB08846;DB12010	10172943;11671467;163751;25008120;3064778;3547;448042;449241;5281855
300	PRKACB	DB02482;DB12010	11671467;25008120
301	PRKAG1	DB00131;DB00273;DB00945;DB12010	11671467;2244;25008120;5284627
302	PRKAR1A	DB01790;DB02315;DB02527;DB05798	
303	PRKAR2B	DB02527	
304	PRKCA	DB00144;DB00163;DB00675;DB02010;DB04209;DB05013;DB06451;DB06595;DB06641;DB08846;DB09096;DB11752;DB14001;DB14002	148177;14985;2733525;2733526;442042;44259;5280757;5281855;6918670;7187;9829523
305	PRKCB	DB00163;DB00675;DB01738;DB02010;DB04209;DB06486;DB08846;DB08862;DB09096;DB14001;DB14002	14985;176167;2733525;2733526;44259;5281855;7187
306	PRKCI	DB00675;DB02010;DB03777;DB04209;DB09096;DB12010	11671467;25008120;2733525;2733526;44259;7187
307	PRKCZ	DB00675;DB02010;DB04209;DB09096	2733525;2733526;44259;7187
308	PRKD1	DB11752;DB12010	11671467;25008120;5280757
309	PRMT1	DB01752	
310	PSAT1	DB00114;DB00142	1051
311	PSPH	DB01593;DB03292;DB14487;DB14533;DB14548	11192
312	PTEN	DB04327	
313	PTGES3	DB00316;DB05036;DB09130	1983
314	PTGR1	DB03461;DB04066;DB07177	637542
315	PTGS2	DB00035;DB00041;DB00154;DB00159;DB00233;DB00244;DB00250;DB00316;DB00328;DB00360;DB00461;DB00465;DB00469;DB00480;DB00482;DB00500;DB00515;DB00533;DB00554;DB00573;DB00580;DB00586;DB00605;DB00620;DB00712;DB00720;DB00749;DB00773;DB00784;DB00788;DB00795;DB00812;DB00814;DB00821;DB00856;DB00861;DB00870;DB00884;DB00887;DB00936;DB00939;DB00945;DB00963;DB00991;DB01009;DB01014;DB01030;DB01041;DB01050;DB01250;DB01283;DB01395;DB01397;DB01399;DB01401;DB01404;DB01419;DB01435;DB01600;DB01628;DB02266;DB02709;DB03477;DB03866;DB04552;DB04725;DB04743;DB05095;DB05804;DB05875;DB06195;DB06436;DB06725;DB06736;DB06774;DB06802;DB06804;DB08439;DB08819;DB08910;DB09061;DB09212;DB09213;DB09214;DB09215;DB09216;DB09217;DB09285;DB09288;DB09295;DB11071;DB11079;DB11133;DB11201;DB11323;DB11327;DB11752;DB12930;DB13167;DB13168;DB13346;DB13501;DB13514;DB13783;DB13961;DB14009;DB14011;DB14060	108082;119607;119828;123619;12594;133021;134780;151075;151166;1548887;1548943;156391;15787;15895902;160355;1983;208910;213053;216326;2206;2244;23663407;23667642;23684814;23693301;2466;2471;2662;2724368;2955;3033;3059;31195;31307;3308;338;3394;36462;3672;3715;3825;3826;3965;39912;4038;4044;4075;4409;44148067;445154;446284;4495;4553;4614;4649;4888;5018304;5090;5161;5245;5280757;5353980;5426;54676228;54677470;54690031;5702198;60726;636369;6436;644019;667550;68865;68873;6918092;71771;84003;9833407;9868491
316	PTPN1	DB01734;DB01820;DB02014;DB02072;DB02259;DB02420;DB02436;DB02615;DB02620;DB02622;DB02651;DB02662;DB02784;DB02827;DB02977;DB03102;DB03154;DB03311;DB03483;DB03557;DB03661;DB03670;DB03714;DB03982;DB04001;DB04088;DB04142;DB04204;DB04285;DB04525;DB04800;DB05506;DB06333;DB06521;DB06829;DB06887;DB07130;DB07134;DB07197;DB07263;DB07289;DB07295;DB07298;DB07480;DB07651;DB07719;DB07730;DB08001;DB08003;DB08147;DB08371;DB08397;DB08549;DB08591;DB08593;DB08783	
317	PTPN11	DB02779	
318	PTPN6	DB01133	
319	PTS	DB00688;DB01024;DB03886	5281078;6918995
320	PYCR3	DB00172	
321	PYGB	DB00114;DB03496	1051;5287969;9910986
322	QARS1	DB00130	5961
323	QDPR	DB00157;DB03814	
324	RAB5A	DB02467;DB04137;DB04315	
325	RAC1	DB00514;DB00993;DB04315	2265;5360696;5464025;5483943
326	RALA	DB04315	
327	RALBP1	DB00398;DB00541;DB00564;DB00570;DB00997;DB12411	216239;2554;31703;406563;46215462;5388983;5388992;5978
328	RAN	DB04315	
329	RDH11	DB00162	445354;638034
330	RDH14	DB00162	445354;638034
331	RFK	DB00140;DB03247	23666409;493570
332	RHOA	DB04315	
333	ROCK2	DB08162;DB08756;DB12010;DB13165;DB13931;DB16703	11671467;163751;25008120;3547;448042;66599893;90410375;9863672
334	RPE	DB00153	5280793
335	RPIA	DB01756	
336	RPS6KA3	DB00945;DB12010	11671467;2244;25008120
337	RPS6KA4	DB03247	23666409
338	RUVBL2	DB04216	5280343
339	SARS1	DB00133	
340	SCN4A	DB00243;DB00273;DB00281;DB00313;DB00555;DB00564;DB00586;DB00776;DB00818;DB00907;DB00909;DB01069;DB01161;DB01195;DB05541;DB09085;DB09088;DB09342;DB09345;DB11186;DB13154;DB13269;DB13746;DB13961	11078;16760703;23663956;23667642;2554;3033;3121;3356;34312;3676;3878;41022;446220;4927;4943;5018304;5284627;5411;56959;5734;6014;6314;73957;8612;8695;9837243
341	SCN9A	DB00243;DB00273;DB00281;DB00313;DB00555;DB00564;DB00776;DB00907;DB00909;DB01069;DB01161;DB05541;DB06201;DB06218;DB09085;DB09088;DB09342;DB09345;DB11186;DB13269;DB13746;DB13961	11078;16760703;219078;23663956;2554;3121;34312;3676;3878;446220;4927;5284627;5411;56959;5734;6014;6314;73957;8612;8695;9837243
342	SHMT1	DB00114;DB00116;DB00145;DB01055;DB02067;DB02800;DB02824	1051;750
343	SIRT2	DB15493	
344	SKP1	DB01750;DB06980;DB06981;DB06982;DB07950	
345	SLC11A2	DB06796;DB09130;DB13257;DB14520;DB15598	
346	SLC12A2	DB00214;DB00761;DB00887;DB01325;DB11098	2471;41781;4873;516893;6307
347	SLC12A4	DB00761;DB00887	2471;4873
348	SLC12A6	DB00761	4873
349	SLC12A7	DB00761	4873
350	SLC14A1	DB01005;DB03904	1176;3657
351	SLC16A1	DB00119;DB00142;DB00175;DB00313;DB00345;DB00415;DB00529;DB00563;DB00627;DB00731;DB00825;DB00936;DB01032;DB01440;DB01762;DB03066;DB03166;DB03773;DB03793;DB04074;DB04216;DB04348;DB04398;DB04552;DB07767;DB08892;DB09338	10413;11281011;1254;126941;16760703;176;2148;23662274;23663956;23663979;23666456;3121;338;3415;443971;44561;445858;4911;517055;5280343;54687;60026;612;6249;938
352	SLC16A10	DB00117;DB00119;DB00120;DB00123;DB00125;DB00128;DB00130;DB00133;DB00134;DB00135;DB00138;DB00142;DB00145;DB00149;DB00150;DB00151;DB00156;DB00160;DB00161;DB00167;DB00172;DB00174;DB00279;DB00650;DB00825;DB01235;DB01583;DB01746;DB01786;DB02556;DB02952;DB03107;DB03225;DB03839;DB03929;DB04398;DB06151;DB06262	1254;23662274;23666456;5862;5920;5961;6047;6057;6106;612;6140;6274;6287;6305;6306;71077;71371;750;876;92974
353	SLC19A1	DB00563;DB00642;DB01157;DB06813;DB11256	126941;148121;15341110;446556;5583;6918197
354	SLC19A2	DB00152	1130;6202
355	SLC1A1	DB00128;DB00142;DB00230	5486971
356	SLC1A4	DB00160	
